City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port hardy,90,CA,1580085688,93,50.7,-127.42,44.6,6.93
tiksi,0,RU,1580085688,69,71.69,128.87,-32.44,2.77
kaitangata,92,NZ,1580085688,67,-46.28,169.85,68.0,8.77
punta arenas,90,CL,1580085688,58,-53.15,-70.92,53.6,11.41
strezhevoy,90,RU,1580085401,84,60.73,77.59,6.8,13.42
mahebourg,40,MU,1580085688,78,-20.41,57.7,77.0,10.29
bredasdorp,37,ZA,1580085687,76,-34.53,20.04,55.4,4.7
geraldton,32,AU,1580085688,73,-28.77,114.6,77.0,5.82
cherskiy,100,RU,1580085689,87,68.75,161.3,-22.5,0.63
lorengau,88,PG,1580085689,77,-2.02,147.27,84.06,11.74
ribeira grande,94,PT,1580085689,89,38.52,-28.7,59.2,16.71
hobart,75,AU,1580085611,48,-42.88,147.33,63.0,10.29
mataura,79,NZ,1580085689,63,-46.19,168.86,68.0,11.01
qaanaaq,11,GL,1580085689,53,77.48,-69.36,-10.34,4.43
vaini,40,TO,1580085689,79,-21.2,-175.2,86.0,6.93
los llanos de aridane,75,ES,1580085422,67,28.66,-17.92,62.6,8.05
busselton,0,AU,1580085238,45,-33.65,115.33,77.0,1.99
puerto ayora,75,EC,1580085251,69,-0.74,-90.35,80.6,8.05
new norfolk,75,AU,1580085239,48,-42.78,147.06,63.0,10.29
hilo,40,US,1580085264,61,19.73,-155.09,80.6,9.17
tasiilaq,100,GL,1580085269,48,65.61,-37.64,32.0,9.17
rikitea,0,PF,1580085237,78,-23.12,-134.97,79.34,11.39
mufumbwe,100,ZM,1580085690,98,-13.68,24.8,63.77,2.15
butaritari,100,KI,1580085691,79,3.07,172.79,82.56,11.83
nerchinskiy zavod,72,RU,1580085691,99,51.31,119.61,-10.73,2.24
albany,90,US,1580085691,64,42.6,-73.97,39.99,4.7
jamestown,90,US,1580085691,100,42.1,-79.24,34.0,12.75
sao filipe,0,CV,1580085691,67,14.9,-24.5,73.71,10.74
biltine,0,TD,1580085691,14,14.53,20.92,62.46,16.31
vardo,100,NO,1580085691,78,70.37,31.11,10.4,20.8
provideniya,7,RU,1580085692,76,64.38,-173.3,-5.8,4.47
manoel urbano,73,BR,1580085692,77,-8.84,-69.26,79.66,3.98
victoria,40,HK,1580085601,66,22.29,114.16,54.0,16.11
bubaque,91,GW,1580085692,56,11.28,-15.83,80.8,5.73
lebu,3,CL,1580085692,66,-37.62,-73.65,58.95,10.27
ushuaia,40,AR,1580085692,70,-54.8,-68.3,48.2,17.22
kondoa,100,TZ,1580085692,97,-4.9,35.78,63.0,5.41
ponta do sol,20,PT,1580085692,72,32.67,-17.1,59.0,1.12
saint anthony,90,US,1580085693,86,45.02,-93.22,28.99,3.04
carnarvon,0,AU,1580085693,88,-24.87,113.63,78.8,13.87
paracuru,20,BR,1580085693,83,-3.41,-39.03,86.0,3.36
mehamn,100,NO,1580085693,71,71.04,27.85,16.12,9.86
manzhouli,56,CN,1580085693,100,49.6,117.43,-5.62,2.28
arraial do cabo,0,BR,1580085612,80,-22.97,-42.03,75.7,10.11
kieta,100,PG,1580085693,71,-6.22,155.63,83.39,5.64
souillac,40,MU,1580085693,78,-20.52,57.52,77.0,10.29
khatanga,91,RU,1580085693,99,71.97,102.5,-23.48,1.68
bluff,90,NZ,1580085694,63,-46.6,168.33,68.0,11.01
faanui,90,PF,1580085694,72,-16.48,-151.75,83.41,9.93
